"{'roll': 220.28613094231468, 'pitch': 303.0654316260792, 'yaw': 89.82467154848393}"
"{'roll': 220.40600076224842, 'pitch': 303.09278311861055, 'yaw': 89.97738091794709}"
"{'roll': 220.72218387930664, 'pitch': 303.17124833179565, 'yaw': 90.14241194867293}"
"{'roll': 220.71356418057408, 'pitch': 302.6573380684547, 'yaw': 90.81432497808376}"
"{'roll': 221.46357359295484, 'pitch': 302.333703215012, 'yaw': 90.74916497340185}"
"{'roll': 221.83340101575436, 'pitch': 302.18794697812393, 'yaw': 90.8201921105808}"
"{'roll': 222.0471312952624, 'pitch': 301.675081733726, 'yaw': 91.5273489161089}"
"{'roll': 222.7840130840584, 'pitch': 301.3133754058496, 'yaw': 92.16967356603524}"
"{'roll': 223.66344092083256, 'pitch': 301.2779813655706, 'yaw': 92.6890684712797}"
"{'roll': 223.13985227943772, 'pitch': 301.34784737059067, 'yaw': 94.06185453218222}"
"{'roll': 223.8141285543014, 'pitch': 301.2222128709975, 'yaw': 93.97261128048683}"
"{'roll': 225.17705182204242, 'pitch': 301.1598805646319, 'yaw': 93.35809233067161}"
"{'roll': 225.80325722552752, 'pitch': 301.29332197044647, 'yaw': 93.53011064491838}"
"{'roll': 226.0776532452436, 'pitch': 300.881031261577, 'yaw': 94.48745727974405}"
"{'roll': 226.6078808305117, 'pitch': 300.879706204878, 'yaw': 94.3283958343528}"
"{'roll': 227.59272580693585, 'pitch': 300.91479971683356, 'yaw': 94.39994206590868}"
"{'roll': 226.57718596038166, 'pitch': 301.05665591570556, 'yaw': 96.14765087073154}"
"{'roll': 226.46487032966996, 'pitch': 300.9604390408676, 'yaw': 96.10962720762208}"
"{'roll': 226.31505696041492, 'pitch': 301.0880952764551, 'yaw': 96.17817498613233}"
"{'roll': 225.460668597138, 'pitch': 301.5786667834021, 'yaw': 97.4395265107261}"
"{'roll': 226.48769682187614, 'pitch': 301.20666736044654, 'yaw': 97.14012516845858}"
"{'roll': 226.77493359723186, 'pitch': 301.38061178803923, 'yaw': 97.56378814229613}"
"{'roll': 226.46510255610175, 'pitch': 301.7406105686231, 'yaw': 98.48267398190546}"
"{'roll': 225.36671251491532, 'pitch': 301.3373630302147, 'yaw': 100.41690159258303}"
"{'roll': 223.83479670672983, 'pitch': 301.417843149205, 'yaw': 101.63681435948233}"
"{'roll': 225.6734563105406, 'pitch': 301.3776816368853, 'yaw': 100.32973471839533}"
"{'roll': 225.2260925802831, 'pitch': 301.111714070605, 'yaw': 101.38818864350469}"
"{'roll': 226.77870386165372, 'pitch': 300.23381619620494, 'yaw': 100.68454938539915}"
"{'roll': 226.07374637703836, 'pitch': 300.3351420525421, 'yaw': 102.4708897401676}"
"{'roll': 224.92127489800376, 'pitch': 300.38705832042336, 'yaw': 103.64605110762498}"
"{'roll': 226.47925470806203, 'pitch': 299.6124465666522, 'yaw': 103.51909155133278}"
"{'roll': 226.01913218443494, 'pitch': 299.39437228683204, 'yaw': 103.65446590068244}"
"{'roll': 227.14872252975, 'pitch': 299.6898872514618, 'yaw': 103.42539501629855}"
"{'roll': 228.7775450618796, 'pitch': 299.59240679162735, 'yaw': 103.19197330141337}"
"{'roll': 228.4104223939914, 'pitch': 299.775066540601, 'yaw': 104.07702921406361}"
"{'roll': 228.75463660740337, 'pitch': 299.55444460022045, 'yaw': 103.54547657209655}"
"{'roll': 227.6173281483262, 'pitch': 299.683425892507, 'yaw': 105.0294990938219}"
"{'roll': 225.6281721563434, 'pitch': 299.47105482064376, 'yaw': 106.63796766222488}"
"{'roll': 226.22746661449867, 'pitch': 299.44365893188285, 'yaw': 105.96324742506516}"
"{'roll': 225.76235805277747, 'pitch': 299.15524053380074, 'yaw': 107.32412846624436}"
"{'roll': 225.47177448472846, 'pitch': 299.3745988891848, 'yaw': 108.71041098094683}"
"{'roll': 225.20535612596294, 'pitch': 299.4104368917599, 'yaw': 109.34506532843524}"
"{'roll': 225.17406019918593, 'pitch': 299.3340002447583, 'yaw': 109.885845555971}"
"{'roll': 223.80960696907084, 'pitch': 300.39055537727836, 'yaw': 110.94922404747194}"
"{'roll': 224.2426682832063, 'pitch': 300.862671713088, 'yaw': 111.13124175866362}"
"{'roll': 224.8912903675474, 'pitch': 301.07132716204273, 'yaw': 111.07674367927608}"
"{'roll': 225.92467066821365, 'pitch': 301.03553697079184, 'yaw': 110.84701026654271}"
"{'roll': 224.96243361794225, 'pitch': 300.60281716611485, 'yaw': 111.12398126757589}"
"{'roll': 226.99680546223055, 'pitch': 299.66184249472974, 'yaw': 110.26819954570831}"
"{'roll': 226.57646196032962, 'pitch': 299.95682470460423, 'yaw': 111.03983333700134}"
"{'roll': 227.3149010322564, 'pitch': 300.2834306903359, 'yaw': 110.53993862183727}"
"{'roll': 228.05163255689064, 'pitch': 299.87484194399656, 'yaw': 110.12631602607964}"
"{'roll': 228.05831248189892, 'pitch': 299.90689602177144, 'yaw': 110.67674048072345}"
"{'roll': 227.22940072422617, 'pitch': 299.8238750724099, 'yaw': 111.01839337319666}"
"{'roll': 227.75447834686008, 'pitch': 300.39142964149215, 'yaw': 111.52511827753074}"
"{'roll': 227.56962610716286, 'pitch': 300.6688377746322, 'yaw': 111.69594130867276}"
"{'roll': 227.37297130057985, 'pitch': 300.87524609135, 'yaw': 112.0258804267194}"
"{'roll': 227.46765138285457, 'pitch': 300.84797314599416, 'yaw': 112.32716690119783}"
"{'roll': 226.34359349076723, 'pitch': 301.2283668714397, 'yaw': 113.80524715834527}"
"{'roll': 225.7292316353029, 'pitch': 300.8796583935538, 'yaw': 115.13002381957178}"
"{'roll': 225.46988935251753, 'pitch': 300.8561762031873, 'yaw': 115.83895647428407}"
"{'roll': 223.81630055445746, 'pitch': 300.7366000813879, 'yaw': 117.21480245993476}"
"{'roll': 224.67553835204504, 'pitch': 300.8402003907187, 'yaw': 117.04044139080268}"
"{'roll': 224.61806914036856, 'pitch': 300.92169820789525, 'yaw': 117.25107076442752}"
"{'roll': 224.03937453275006, 'pitch': 301.0603168971007, 'yaw': 118.12545792159422}"
"{'roll': 223.4112703366757, 'pitch': 301.24458857071846, 'yaw': 118.85122016242144}"
"{'roll': 223.73051337848207, 'pitch': 301.8173682345157, 'yaw': 118.54860180105486}"
"{'roll': 224.24929356670123, 'pitch': 301.48696466360553, 'yaw': 118.90299299633014}"
"{'roll': 224.29239206036402, 'pitch': 301.3216194441778, 'yaw': 119.09247610428463}"
"{'roll': 223.90731965533703, 'pitch': 301.7257344166108, 'yaw': 119.25267136107811}"
"{'roll': 223.45689600033137, 'pitch': 301.5245511946081, 'yaw': 119.89487306759939}"
"{'roll': 223.35235312489516, 'pitch': 301.27770815800386, 'yaw': 119.98389775324134}"
"{'roll': 222.70146341774964, 'pitch': 301.9777205856601, 'yaw': 120.51349696110579}"
"{'roll': 223.02278283706372, 'pitch': 302.41492099443263, 'yaw': 120.90732566864871}"
"{'roll': 223.62665352196288, 'pitch': 302.45347058210814, 'yaw': 121.16638108348896}"
"{'roll': 223.83378583873267, 'pitch': 302.0283732685449, 'yaw': 121.20764908645418}"
"{'roll': 223.10051038981845, 'pitch': 302.10507629292414, 'yaw': 121.5119203535999}"
"{'roll': 222.53714272669745, 'pitch': 301.3928446568427, 'yaw': 121.7939661851864}"
"{'roll': 223.3979924489292, 'pitch': 301.5956056525437, 'yaw': 120.89466249792751}"
"{'roll': 223.43647373471305, 'pitch': 301.6169363333217, 'yaw': 121.62325243707112}"
"{'roll': 223.3270814249661, 'pitch': 302.09186670706936, 'yaw': 121.97480227365168}"
"{'roll': 223.59453797248548, 'pitch': 301.70572879253183, 'yaw': 122.41500796565899}"
"{'roll': 223.74574470033122, 'pitch': 302.0102869276227, 'yaw': 123.15556439622846}"
"{'roll': 224.08937151747455, 'pitch': 301.3353822753554, 'yaw': 122.90415879325863}"
"{'roll': 222.8627515048103, 'pitch': 301.9326276767597, 'yaw': 124.00205706082481}"
"{'roll': 222.23944210153329, 'pitch': 301.7089936229551, 'yaw': 124.12431744696804}"
"{'roll': 221.99650593313427, 'pitch': 301.6977511315813, 'yaw': 124.70172797902258}"
